#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
u87hw0d2his5484jou87h5qqymuvhwo5,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,2,1,2,1,14,2020-06-04 18:32:58,,2020-06-04 18:35:52,7c75ce58d1
oqz1dknj3tt66i3wn8eqoqz1dknz1kdi,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,1,1,2,1,13,2020-06-04 18:33:05,,2020-06-04 18:34:43,9ea4d1c45e
xnq2rxjry3b942pk8pxnq2rxrb9szn5j,1,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,2,12,2020-06-04 18:31:30,,2020-06-04 18:33:41,01b2e24322
2vpugs6g18yxekn7egobz2vpugs60gsn,Bottle bank,1,1,2,Battery bank,1,2,1,2,2,1,2,1,2,1,13,2020-06-04 18:30:10,,2020-06-04 18:33:09,c6e6d562db
he3tk7bv2aszidod0r22eshe3tkvg28l,Bottle bank,1,2,1,Battery bank,1,1,1,1,2,1,1,1,2,1,12,2020-06-04 18:31:05,,2020-06-04 18:33:08,296b186f78
ddikz3a3vaerstpxomddikubb8xqejys,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,2,1,2,1,14,2020-06-04 18:29:53,,2020-06-04 18:32:23,7ddc9672f1
uizu1dn0oxb1uf2lw7uizuerb340ay6t,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:29:45,,2020-06-04 18:31:40,0677eb66be
cfx6kythp42xono7stjcfx6kdasvizlh,Bottle bank,1,2,1,Battery bank,1,1,1,1,2,1,2,1,2,1,13,2020-06-04 18:29:44,,2020-06-04 18:31:39,7043f16c3e
e65o9gviq8ipg2d7d7k6e65ofvvjjxd8,1,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,12,2020-06-04 18:30:02,,2020-06-04 18:31:37,738a1e6fc8
svtuhcwlk14e3j2svtco9ju76r82juyt,Bottle bank,1,1,1,Battery bank,1,2,1,2,2,1,1,1,1,1,10,2020-06-04 18:28:43,,2020-06-04 18:30:06,cc0efc6a2b
